DATE,MKTGDPFRA646NWDB,MKTGDPIEA646NWDB,MKTGDPGBA646NWDB
1960-01-01,62225478000.8822,1998550221.80554,73233967692.1028
1961-01-01,67461644222.0352,2151772979.96956,77741965703.3544
1962-01-01,75607529809.9288,2329372971.89171,81247564156.8246
1963-01-01,84759195105.8693,2505073357.88508,86561961812.3249
1964-01-01,94007851047.3678,2851091646.43165,94407558351.1616
1965-01-01,101537248148.427,3035655793.5247,101824755078.991
1966-01-01,110045852177.928,3198820903.82796,108572752102.045
1967-01-01,118972977486.207,3445739914.73101,113116888210.787
1968-01-01,129785441507.456,3378701146.84197,107759910067.889
1969-01-01,141903068680.309,3902721631.54663,116464702803.218
1970-01-01,148456359985.827,4395995085.99509,130671946244.3
1971-01-01,165966615366.402,5098250287.46646,148113896325.14
1972-01-01,203494148244.473,6318060582.21873,169965034965.035
1973-01-01,264429876252.21,7481173065.79201,192537971582.558
1974-01-01,285553737043.099,7896860614.98803,206131369798.971
1975-01-01,360832186018.051,9483808362.36934,241756637168.142
1976-01-01,372319038514.067,9453756014.71837,232614555256.065
1977-01-01,410279486493.715,11248340431.3779,263066457352.172
1978-01-01,506709302325.581,14647996073.6937,335883029721.956
1979-01-01,613953129818.07,18319334300.4513,438994070309.191
1980-01-01,701288419745.421,21747855640.0712,564947710899.373
1981-01-01,615552202776.101,20670190138.1671,540765675241.158
1982-01-01,584877732308.614,21474752962.2178,515048916841.37
1983-01-01,559869179791.72,20766047763.5314,489618008185.539
1984-01-01,530683779929.445,20106648454.8404,461487097632.349
1985-01-01,553138414367.061,21270013325.5601,489285164271.047
1986-01-01,771470783218.108,28714571852.4799,601452653180.885
1987-01-01,934173305685.911,33920518492.5094,745162608269.325
1988-01-01,1018847043277.17,37772896220.7559,910122732123.799
1989-01-01,1025211803413.53,39238392677.7542,926884816753.927
1990-01-01,1269179616913.63,49305632408.4929,1093169389204.55
1991-01-01,1269276828275.78,49787501584.4847,1142797178130.51
1992-01-01,1401465923172.24,55918538121.3989,1179659529659.53
1993-01-01,1322815612694.0,52417477613.676,1061388722255.55
1994-01-01,1393982750472.59,57097656065.96,1140489745944.29
1995-01-01,1601094756209.75,69139823232.3232,1344240176739.78
1996-01-01,1605675086549.56,75790786290.3226,1419645865834.63
1997-01-01,1452884917959.09,82856648758.3572,1560911918795.02
1998-01-01,1503108739159.44,90199410115.5097,1653694932096.72
1999-01-01,1493151737698.46,98893958262.6438,1687830448147.55
2000-01-01,1365639660792.16,100207610429.909,1665534876683.31
2001-01-01,1377657339291.34,109346669229.695,1649827263567.01
2002-01-01,1501409382971.38,128596035288.401,1785729916067.15
2003-01-01,1844544792036.86,164670771259.602,2054422857142.86
2004-01-01,2119633181634.37,194372115041.065,2421525082387.4
2005-01-01,2196945232435.8,211876989655.907,2543180000000.0
2006-01-01,2320536221304.7,232180617162.279,2708441582336.71
2007-01-01,2660591246211.77,270079279419.5,3090510204081.63
2008-01-01,2930303780828.12,275447471451.063,2929411764705.88
2009-01-01,2700887366932.03,236443115853.695,2412840006231.5
2010-01-01,2645187882116.67,221913560882.367,2485482596184.71
2011-01-01,2865157541994.17,239170638711.314,2663805834828.07
2012-01-01,2683671716967.19,225118718207.156,2707089726614.64
2013-01-01,2811876903329.03,238112475390.796,2784853502534.29
2014-01-01,2855964488590.19,259681883575.706,3064708247921.43
2015-01-01,2439188643162.5,292364226871.756,2927911140916.73
2016-01-01,2472964344587.17,298559265006.398,2689106566899.61
2017-01-01,2595151045197.65,337241811320.896,2680148052335.3
2018-01-01,2790956878746.66,386693357874.056,2871340347581.79
2019-01-01,2728870246705.88,398933010007.356,2851407164907.81
2020-01-01,2647418691598.45,428608687830.239,2697806592293.86
2021-01-01,2959355819170.5,513391778882.86,3141506156618.7
2022-01-01,2779092236505.85,533140011838.276,3088839763445.02
2023-01-01,3030904089607.9,545629450403.735,3340032380668.04
