DATE,POPTOTGBA647NWDB,POPTOTIEA647NWDB,POPTOTFRA647NWDB
1960-01-01,52400000,2828600,46649927
1961-01-01,52800000,2824400,47161641
1962-01-01,53250000,2836050,47679792
1963-01-01,53650000,2852650,48189939
1964-01-01,54000000,2866550,48733997
1965-01-01,54348050,2877300,49282756
1966-01-01,54648500,2888800,49817041
1967-01-01,54943600,2902450,50334012
1968-01-01,55211700,2915550,50817020
1969-01-01,55441750,2932650,51272683
1970-01-01,55663250,2957250,51724116
1971-01-01,55896223,2992050,52185222
1972-01-01,56086065,3036850,52637888
1973-01-01,56194527,3085950,53053660
1974-01-01,56229974,3137500,53415250
1975-01-01,56225800,3189550,53715733
1976-01-01,56211968,3238050,53966558
1977-01-01,56193492,3282200,54221988
1978-01-01,56196504,3329100,54486195
1979-01-01,56246951,3373750,54753575
1980-01-01,56314216,3412800,55052582
1981-01-01,56333829,3453000,55371044
1982-01-01,56313641,3485800,55694106
1983-01-01,56332848,3510600,55992656
1984-01-01,56422072,3532423,56275701
1985-01-01,56550268,3538082,56569195
1986-01-01,56681396,3539690,56865193
1987-01-01,56802050,3540057,57168409
1988-01-01,56928327,3524949,57472651
1989-01-01,57076711,3511009,57766282
1990-01-01,57247586,3513974,58044701
1991-01-01,57424897,3534235,58557577
1992-01-01,57580402,3558430,58849943
1993-01-01,57718614,3576261,59106166
1994-01-01,57865745,3590386,59327585
1995-01-01,58019030,3608841,59543659
1996-01-01,58166950,3637510,59756533
1997-01-01,58316954,3674171,59969944
1998-01-01,58487141,3712696,60192790
1999-01-01,58682466,3754786,60504420
2000-01-01,58892514,3805174,60921384
2001-01-01,59119673,3866243,61367388
2002-01-01,59370479,3931947,61816234
2003-01-01,59647577,3996521,62256970
2004-01-01,59987905,4070262,62716306
2005-01-01,60401206,4159914,63188395
2006-01-01,60846820,4273591,63628261
2007-01-01,61322463,4398942,64021737
2008-01-01,61806995,4489544,64379696
2009-01-01,62276270,4535375,64710879
2010-01-01,62766365,4560155,65030575
2011-01-01,63258810.0,4580084.0,65345233
2012-01-01,63700215.0,4599533.0,65662240
2013-01-01,64128273.0,4623816.0,66002289
2014-01-01,64602298.0,4657740.0,66312067.0
2015-01-01,65116219.0,4701957.0,66548272.0
2016-01-01,65611593.0,4755335.0,66724104
2017-01-01,66058859,4807388,66918020
2018-01-01,66460344.0,4867316,67158348
2019-01-01,66836327.0,4934340,67388001
2020-01-01,67081234,4985382,67571107
2021-01-01,67026292,5033164,67764304
2022-01-01,67791000,5127170,67971311
2023-01-01,68350000,5262382,68170228
